state,state_abbr,pvi,pres_margin_2024,trump_pct_2024,harris_pct_2024,senate_up_2026
Alaska,AK,R+6,+13.13,54.54,41.41,yes
Alabama,AL,R+15,+30.47,64.57,34.10,yes
Arkansas,AR,R+15,+30.64,64.20,33.56,yes
Arizona,AZ,R+2,+5.53,52.22,46.69,
California,CA,D+12,-20.14,38.33,58.47,
Colorado,CO,D+6,-10.99,43.14,54.13,yes
Connecticut,CT,D+8,-14.51,41.89,56.40,
District of Columbia,DC,D+43,-83.81,6.47,90.28,
Delaware,DE,D+8,-14.70,41.79,56.49,yes
Florida,FL,R+5,+13.10,56.09,42.99,special (Rubio seat)
Georgia,GA,R+1,+2.19,50.72,48.53,yes
Hawaii,HI,D+13,-23.11,37.48,60.59,
Iowa,IA,R+6,+13.21,55.73,42.52,yes
Idaho,ID,R+18,+36.49,66.87,30.38,yes
Illinois,IL,D+6,-10.90,43.47,54.37,yes
Indiana,IN,R+9,+18.96,58.58,39.62,
Kansas,KS,R+8,+16.12,57.16,41.04,yes
Kentucky,KY,R+15,+30.53,64.47,33.94,yes
Louisiana,LA,R+11,+22.01,60.22,38.21,yes
Massachusetts,MA,D+14,-25.20,36.02,61.22,yes
Maryland,MD,D+15,-28.54,34.08,62.62,
Maine,ME,D+4,-6.94,45.46,52.40,yes
Michigan,MI,EVEN,+1.42,49.73,48.31,yes
Minnesota,MN,D+3,-4.24,46.68,50.92,yes
Missouri,MO,R+9,+18.41,58.49,40.08,
Mississippi,MS,R+11,+22.89,60.89,38.00,yes
Montana,MT,R+10,+19.93,58.39,38.46,yes
North Carolina,NC,R+1,+3.21,50.86,47.65,yes
North Dakota,ND,R+18,+36.45,66.96,30.51,
Nebraska,NE,R+10,+20.46,59.32,38.86,yes
New Hampshire,NH,D+2,-2.78,47.87,50.65,yes
New Jersey,NJ,D+4,-5.91,46.06,51.97,yes
New Mexico,NM,D+4,-6.00,45.85,51.85,yes
Nevada,NV,R+1,+3.10,50.59,47.49,
New York,NY,D+8,-12.60,43.31,55.91,
Ohio,OH,R+5,+11.21,55.14,43.93,special (Vance seat)
Oklahoma,OK,R+17,+34.26,66.16,31.90,yes
Oregon,OR,D+8,-14.30,40.97,55.27,yes
Pennsylvania,PA,R+1,+1.71,50.37,48.66,
Rhode Island,RI,D+8,-13.78,41.76,55.54,yes
South Carolina,SC,R+8,+17.87,58.23,40.36,yes
South Dakota,SD,R+15,+29.19,63.43,34.24,yes
Tennessee,TN,R+14,+29.72,64.19,34.47,yes
Texas,TX,R+6,+13.68,56.14,42.46,yes
Utah,UT,R+11,+21.59,59.38,37.79,
Virginia,VA,D+3,-5.78,46.05,51.83,yes
Vermont,VT,D+17,-31.51,32.32,63.83,
Washington,WA,D+10,-18.22,39.01,57.23,
Wisconsin,WI,EVEN,+0.86,49.60,48.74,
West Virginia,WV,R+21,+41.87,69.97,28.10,yes
Wyoming,WY,R+23,+45.76,71.60,25.84,yes
